2023-12-08 06:26:23.917 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-08 06:26:23.930 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\Transfer.zip
2023-12-08 06:26:24.090 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230901_0236035053.txt
2023-12-08 06:26:24.095 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230902_0236035053.txt
2023-12-08 06:26:24.100 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230903_0236035053.txt
2023-12-08 06:26:24.103 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230904_0236035053.txt
2023-12-08 06:26:24.107 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230905_0236035053.txt
2023-12-08 06:26:24.111 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230906_0236035053.txt
2023-12-08 06:26:24.114 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230907_0236035053.txt
2023-12-08 06:26:24.117 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230908_0236035053.txt
2023-12-08 06:26:24.121 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230909_0236035053.txt
2023-12-08 06:26:24.125 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230910_0236035053.txt
2023-12-08 06:26:24.128 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230911_0236035053.txt
2023-12-08 06:26:24.131 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230912_0236035053.txt
2023-12-08 06:26:24.134 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230913_0236035053.txt
2023-12-08 06:26:24.137 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230914_0236035053.txt
2023-12-08 06:26:24.141 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230915_0236035053.txt
2023-12-08 06:26:24.143 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230916_0236035053.txt
2023-12-08 06:26:24.146 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Transfer\estmt_20230917_0236035053.txt
