2023-12-20 17:49:26.877 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:49:26.909 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\UOB\Statement.zip
2023-12-20 17:49:26.969 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 29583001960 Z1 11134138040 AS OF SEP23.txt
2023-12-20 17:49:26.972 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 7473002993 C7 11134138010 AS OF SEP23.txt
2023-12-20 17:49:26.975 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB SA 9581032044 Z2 11123138010 AS OF SEP23.txt
2023-12-20 17:49:27.047 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:49:27.097 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:49:27.139 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:49:27.154 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 17:49:50.475 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:49:50.480 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\UOB\Statement.zip
2023-12-20 17:49:50.485 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 29583001960 Z1 11134138040 AS OF SEP23.txt
2023-12-20 17:49:50.489 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 7473002993 C7 11134138010 AS OF SEP23.txt
2023-12-20 17:49:50.493 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB SA 9581032044 Z2 11123138010 AS OF SEP23.txt
2023-12-20 17:53:33.302 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:33.391 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:33.440 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:33.445 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 17:53:46.930 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:53:46.935 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\UOB\Statement.zip
2023-12-20 17:53:46.939 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 29583001960 Z1 11134138040 AS OF SEP23.txt
2023-12-20 17:53:46.944 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 7473002993 C7 11134138010 AS OF SEP23.txt
2023-12-20 17:53:46.948 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB SA 9581032044 Z2 11123138010 AS OF SEP23.txt
2023-12-20 17:53:46.987 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:47.023 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:47.060 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:53:47.064 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 17:54:06.110 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:54:06.117 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\UOB\Statement.zip
2023-12-20 17:54:06.122 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 29583001960 Z1 11134138040 AS OF SEP23.txt
2023-12-20 17:54:06.127 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 7473002993 C7 11134138010 AS OF SEP23.txt
2023-12-20 17:54:06.132 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB SA 9581032044 Z2 11123138010 AS OF SEP23.txt
2023-12-20 17:54:06.171 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:54:06.204 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:54:06.237 +07:00 [ERR] Exception : Index and length must refer to a location within the string. (Parameter 'length')
2023-12-20 17:54:06.241 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 17:54:34.597 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:54:34.629 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\UOB\Statement.zip
2023-12-20 17:54:34.651 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 29583001960 Z1 11134138040 AS OF SEP23.txt
2023-12-20 17:54:34.655 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB CA 7473002993 C7 11134138010 AS OF SEP23.txt
2023-12-20 17:54:34.661 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\UOB\Statement\UOB SA 9581032044 Z2 11123138010 AS OF SEP23.txt
2023-12-20 17:56:49.181 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:56:49.218 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\Statement.zip
2023-12-20 17:56:49.263 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230901_0231072228.txt
2023-12-20 17:56:49.269 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230901_0236035053.txt
2023-12-20 17:56:49.276 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230901_0236060678.txt
2023-12-20 17:56:49.284 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230902_0231072228.txt
2023-12-20 17:56:49.294 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230902_0236035053.txt
2023-12-20 17:56:49.298 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230902_0236060678.txt
2023-12-20 17:56:49.302 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230903_0231072228.txt
2023-12-20 17:56:49.306 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230903_0236035053.txt
2023-12-20 17:56:49.310 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230903_0236060678.txt
2023-12-20 17:56:49.314 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0231072228.txt
2023-12-20 17:56:49.317 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0236035053.txt
2023-12-20 17:56:49.323 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0236060678.txt
2023-12-20 17:56:49.327 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0231072228.txt
2023-12-20 17:56:49.332 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0236035053.txt
2023-12-20 17:56:49.341 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0236060678.txt
2023-12-20 17:56:49.345 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0231072228.txt
2023-12-20 17:56:49.348 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0236035053.txt
2023-12-20 17:56:49.352 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0236060678.txt
2023-12-20 17:56:49.356 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0231072228.txt
2023-12-20 17:56:49.360 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0236035053.txt
2023-12-20 17:56:49.364 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0236060678.txt
2023-12-20 17:56:49.367 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0231072228.txt
2023-12-20 17:56:49.370 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0236035053.txt
2023-12-20 17:56:49.374 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0236060678.txt
2023-12-20 17:56:49.377 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0231072228.txt
2023-12-20 17:56:49.381 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0236035053.txt
2023-12-20 17:56:49.384 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0236060678.txt
2023-12-20 17:56:49.388 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0231072228.txt
2023-12-20 17:56:49.392 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0236035053.txt
2023-12-20 17:56:49.395 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0236060678.txt
2023-12-20 17:56:49.399 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0231072228.txt
2023-12-20 17:56:49.402 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0236035053.txt
2023-12-20 17:56:49.406 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0236060678.txt
2023-12-20 17:56:49.409 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0231072228.txt
2023-12-20 17:56:49.412 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0236035053.txt
2023-12-20 17:56:49.416 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0236060678.txt
2023-12-20 17:56:49.419 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0231072228.txt
2023-12-20 17:56:49.423 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0236035053.txt
