2023-12-27 18:09:00.836 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-27 18:09:00.866 +07:00 [INF] Unzip : C:\CFRs\BankStatement\BAAC\Statement.zip
2023-12-27 18:09:00.957 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231101-AKL1.txt
2023-12-27 18:09:00.961 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231102-AKL1.txt
2023-12-27 18:09:00.965 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231103-AKL1.txt
2023-12-27 18:09:00.969 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231104-AKL1.txt
2023-12-27 18:09:00.973 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231105-AKL1.txt
2023-12-27 18:09:00.976 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231106-AKL1.txt
2023-12-27 18:09:00.981 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231107-AKL1.txt
2023-12-27 18:09:00.986 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231108-AKL1.txt
2023-12-27 18:09:00.991 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231109-AKL1.txt
2023-12-27 18:09:00.995 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231110-AKL1.txt
2023-12-27 18:09:00.999 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231111-AKL1.txt
2023-12-27 18:09:01.005 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231112-AKL1.txt
2023-12-27 18:09:01.009 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231113-AKL1.txt
2023-12-27 18:09:01.015 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231114-AKL1.txt
2023-12-27 18:09:01.021 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231115-AKL1.txt
2023-12-27 18:09:01.025 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231116-AKL1.txt
2023-12-27 18:09:01.029 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231117-AKL1.txt
2023-12-27 18:09:01.032 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231118-AKL1.txt
2023-12-27 18:09:01.037 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231119-AKL1.txt
2023-12-27 18:09:01.040 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231120-AKL1.txt
2023-12-27 18:09:01.043 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231121-AKL1.txt
2023-12-27 18:09:01.047 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231122-AKL1.txt
2023-12-27 18:09:01.050 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231123-AKL1.txt
2023-12-27 18:09:01.054 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231124-AKL1.txt
2023-12-27 18:09:01.057 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231125-AKL1.txt
2023-12-27 18:09:01.061 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231126-AKL1.txt
2023-12-27 18:09:01.064 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231127-AKL1.txt
2023-12-27 18:09:01.068 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231128-AKL1.txt
2023-12-27 18:09:01.071 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231129-AKL1.txt
2023-12-27 18:09:01.074 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231130-AKL1.txt
2023-12-27 18:09:01.078 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231101-AKL1.txt
2023-12-27 18:09:01.082 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231102-AKL1.txt
2023-12-27 18:09:01.085 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231103-AKL1.txt
2023-12-27 18:09:01.089 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231104-AKL1.txt
2023-12-27 18:09:01.092 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231105-AKL1.txt
2023-12-27 18:09:01.096 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231106-AKL1.txt
2023-12-27 18:09:01.100 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231107-AKL1.txt
2023-12-27 18:09:01.104 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231108-AKL1.txt
2023-12-27 18:09:01.107 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231109-AKL1.txt
2023-12-27 18:09:01.111 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231110-AKL1.txt
2023-12-27 18:09:01.116 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231111-AKL1.txt
2023-12-27 18:09:01.121 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231112-AKL1.txt
2023-12-27 18:09:01.126 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231113-AKL1.txt
2023-12-27 18:09:01.131 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231114-AKL1.txt
2023-12-27 18:09:01.135 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231115-AKL1.txt
2023-12-27 18:09:01.139 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231116-AKL1.txt
2023-12-27 18:09:01.145 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231117-AKL1.txt
2023-12-27 18:09:01.149 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231118-AKL1.txt
2023-12-27 18:09:01.153 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231119-AKL1.txt
2023-12-27 18:09:01.160 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231120-AKL1.txt
2023-12-27 18:09:01.165 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231121-AKL1.txt
2023-12-27 18:09:01.173 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231122-AKL1.txt
2023-12-27 18:09:01.179 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231123-AKL1.txt
2023-12-27 18:09:01.186 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231124-AKL1.txt
2023-12-27 18:09:01.192 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231125-AKL1.txt
2023-12-27 18:09:01.198 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231126-AKL1.txt
2023-12-27 18:09:01.202 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231127-AKL1.txt
2023-12-27 18:09:01.206 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231128-AKL1.txt
2023-12-27 18:09:01.210 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231129-AKL1.txt
2023-12-27 18:09:01.214 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231130-AKL1.txt
2023-12-27 18:09:04.138 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-27 18:10:09.545 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-27 18:10:09.549 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KBANK\Statement.zip
2023-12-27 18:10:09.564 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181006692_1166.txt
2023-12-27 18:10:09.568 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181130040_1166.txt
2023-12-27 18:10:09.571 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0182565407_1166.txt
2023-12-27 18:10:09.574 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-2471029427_1166.txt
2023-12-27 18:10:09.578 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-4271002837_1166.txt
2023-12-27 18:10:09.581 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-7141015774_1166.txt
2023-12-27 18:10:20.184 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-27 18:11:07.614 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-27 18:11:07.619 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\Statement.zip
2023-12-27 18:11:07.779 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0231072228.txt
2023-12-27 18:11:07.782 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0236035053.txt
2023-12-27 18:11:07.785 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0236060678.txt
2023-12-27 18:11:07.789 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231102_0231072228.txt
2023-12-27 18:11:07.792 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231102_0236035053.txt
